For M5|Adr   187|KD1     4WNO      11:13:043  2L|Rf        0.24478 m   |HD         14.736 m   |                      | 
For M5|Adr   188|KD1     4WNO      11:13:04   2L|                      |                      |Z        97.18872 m   | 
For M5|Adr   189|KD1     4WNO      11:14:143  2L|Rb        1.93598 m   |HD         20.129 m   |                      | 
For M5|Adr   190|KD1     5WNO      11:15:233  2L|Rf        1.30947 m   |HD         21.545 m   |                      | 
For M5|Adr   191|KD1     5WNO      11:15:23   2L|                      |                      |Z        97.81523 m   | 
For M5|Adr   192|KD1     5WNO      11:16:453  2L|Rb        1.51594 m   |HD         19.103 m   |                      | 
For M5|Adr   193|KD1     6WNO      11:18:423  2L|Rf        1.29956 m   |HD         19.086 m   |                      | 
For M5|Adr   194|KD1     6WNO      11:18:42   2L|                      |                      |Z        98.03161 m   | 
For M5|Adr   195|KD1     6WNO      11:20:123  2L|Rb        1.46024 m   |HD         19.041 m   |                      | 
For M5|Adr   196|KD1     7WNO      11:21:063  2L|Rf        1.37127 m   |HD         18.395 m   |                      | 
For M5|Adr   197|KD1     7WNO      11:21:06   2L|                      |                      |Z        98.12058 m   | 
For M5|Adr   198|KD1     7WNO      11:23:593  2L|Rb        1.48527 m   |HD         19.876 m   |                      | 
For M5|Adr   199|KD1     8WNO      11:25:023  2L|Rf        1.36937 m   |HD         17.827 m   |                      | 
For M5|Adr   200|KD1     8WNO      11:25:02   2L|                      |                      |Z        98.23648 m   | 
For M5|Adr   201|KD1     8WNO      11:26:193  2L|Rb        1.46239 m   |HD         19.225 m   |                      | 
For M5|Adr   202|KD1     9WNO      11:27:123  2L|Rf        1.39253 m   |HD         18.510 m   |                      | 
For M5|Adr   203|KD1     9WNO      11:27:12   2L|                      |                      |Z        98.30634 m   | 
For M5|Adr   204|KD1     9WNO      11:29:223  2L|Rb        1.41454 m   |HD         17.617 m   |                      | 
For M5|Adr   205|KD1    10WNO      11:30:383  2L|Rf        1.33011 m   |HD         15.839 m   |                      | 
For M5|Adr   206|KD1    10WNO      11:30:38   2L|                      |                      |Z        98.39077 m   | 
For M5|Adr   207|KD1    10WNO      11:31:593  2L|Rb        1.45823 m   |HD         19.018 m   |                      | 
For M5|Adr   208|KD1    11WNO      11:32:433  2L|Rf        1.38129 m   |HD         20.451 m   |                      | 
For M5|Adr   209|KD1    11WNO      11:32:43   2L|                      |                      |Z        98.46771 m   | 
For M5|Adr   210|KD1    11WNO      11:33:463  2L|Rb        1.45448 m   |HD         19.903 m   |                      | 
For M5|Adr   211|KD1    12WNO      11:34:403  2L|Rf        1.33082 m   |HD         19.687 m   |                      | 
For M5|Adr   212|KD1    12WNO      11:34:40   2L|                      |                      |Z        98.59137 m   | 
For M5|Adr   213|KD1    12WNO      11:35:433  2L|Rb        1.36801 m   |HD         20.161 m   |                      | 
For M5|Adr   214|KD1    13WNO      11:37:033  2L|Rf        1.62032 m   |HD         18.505 m   |                      | 
For M5|Adr   215|KD1    13WNO      11:37:03   2L|                      |                      |Z        98.33906 m   | 
For M5|Adr   216|KD1    13WNO      11:38:203  2L|Rb        1.23493 m   |HD         16.973 m   |                      | 
For M5|Adr   217|KD1     22BJ      11:39:003  2L|Rf        1.69167 m   |HD         12.824 m   |                      | 
For M5|Adr   218|KD1     22BJ      11:39:00   2L|                      |                      |Z        97.88232 m   | 
For M5|Adr   219|KD1     22BJ      11:39:463  2L|Rb        1.13031 m   |HD          9.282 m   |                      | 
For M5|Adr   220|KD1      22J      11:40:153  2L|Rf        1.42134 m   |HD         11.385 m   |                      | 
For M5|Adr   221|KD1      22J      11:40:15   2L|                      |                      |Z        97.59129 m   | 
For M5|Adr   222|KD1      22J                 2L|Sh       -4.83566 m   |dz       -0.00030 m   |Z        97.59099 m   | 
For M5|Adr   223|KD2      22J       28        2L|Db         482.19 m   |Df         462.54 m   |Z        97.59129 m   | 
For M5|Adr   224|TO  End-Line                 2L|                      |                      |                      | 
